Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
190,15.569692897631306,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
191,15.544880086280061,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
192,15.568710422188072,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
193,15.52560391480415,9428,38.9,53.437,53.406,53.437,0.7159754911685267,3,1,2,2,0,69
194,15.487594944187403,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
195,15.530777889685409,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
196,15.551796632542205,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
197,15.549086918805099,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
198,15.524684457933894,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
199,15.541769647204426,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
200,15.56923054080038,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
201,15.537566772613783,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
202,15.515266300206411,9387,37.3,53.312,53.406,53.406,0.7160370041731448,3,2,2,4,0,68
203,15.584444923346734,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
204,15.515782853972071,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
205,15.55577643437303,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
206,15.576342313034306,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
207,15.547934135510035,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
208,15.524109852690799,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
209,15.552200287735639,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
210,15.55133533797788,9657,99.4,53.812,53.406,53.812,0.7159109025136777,2,2,2,3,0,66
211,15.526580957069932,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
212,15.542345560525156,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
213,15.552834645377317,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
214,15.539466420661473,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
215,15.551565981839282,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
216,15.533998992622442,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
217,15.560681889851416,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
218,15.561259205669023,9347,99.5,53.625,53.343,53.406,0.7160523824242992,3,1,2,3,1,67
219,15.539005857269348,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
220,15.531583040177745,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
221,15.565590440139538,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
222,15.525776325092263,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
223,15.54626290331548,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
224,15.566514748890308,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
225,15.31170234514179,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
226,15.305165210093232,9306,42.7,53.312,53.531,53.593,0.7160334159145421,3,0,2,2,0,69
227,15.211579401663215,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
228,15.378509778615374,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
229,15.303936628634604,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
230,15.554507290878615,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
231,15.569924086344823,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
232,15.541193776562436,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
233,15.557911370102339,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
234,15.516529047915002,9900,99.5,53.781,53.843,54.125,0.7159319194569221,10,7,23,6,5,71
235,15.58456073599572,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
236,15.552200287735639,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
237,15.545629081636434,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
238,15.566688069002119,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
239,15.57293016451753,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
240,15.519112581262233,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
241,15.49629246485508,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
242,15.511135107948789,9535,99.5,53.531,53.437,53.562,0.7161318367219309,15,42,14,17,71,11
243,15.55248862570313,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
244,15.512339811749912,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
245,15.537969689448357,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
246,15.578135736119416,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
247,15.534804477136529,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
248,15.516930874382641,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
249,15.549721022485032,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
250,15.307231905637792,9387,99.4,53.593,53.906,53.906,0.7161015928279938,9,0,4,0,67,2
251,15.172675247252549,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
252,15.256896752415319,9494,,53.406,54.125,54.125,0.7161210719461228,6,6,6,11,69,6
